STAK-prometheus-mysqld-exporter-pvs___1.0-20260914.0422	filippo.io/edwards25519	v1.1.0	CVE-2026-26958	true	prometheus-mysqld-exporter-0.17.2-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	github.com/coredns/coredns	v1.10.1	CVE-2023-30464	true	consul-1.16.1-1.sl9^1
STAK-prometheus-mtail-pvs___1.0-20260914.0422	github.com/golang/glog	v1.2.2	CVE-2024-45339	true	prometheus-mtail-3.0.8-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	github.com/golang-jwt/jwt/v5	v5.2.1	CVE-2025-30204	true	prometheus-server-3.2.1-1.sl9^1
STAK-etcd-pvs___1.0-20260914.0422	github.com/gorilla/websocket	v1.4.2	GHSA-w67g-5rqw-f597	true	etcd-3.5.33-1.sl9^1^1
STAK-consul-pvs___1.0-20260914.0422	github.com/hashicorp/consul	UNKNOWN	CVE-2025-11375	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	github.com/hashicorp/consul	UNKNOWN	CVE-2025-11374	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	github.com/hashicorp/consul	UNKNOWN	CVE-2024-10086	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	github.com/hashicorp/consul	UNKNOWN	CVE-2024-10006	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	github.com/hashicorp/consul	UNKNOWN	CVE-2024-10005	true	consul-1.16.1-1.sl9^1
STAK-prometheus-alertmanager-pvs___1.0-20260914.0422	github.com/prometheus/client_golang	v1.11.0	CVE-2022-21698	true	golang-github-prometheus-alertmanager-0.23.0-6.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	github.com/prometheus/prometheus	UNKNOWN	CVE-2026-44903	true	prometheus-server-3.2.1-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	github.com/prometheus/prometheus	UNKNOWN	CVE-2026-42154	true	prometheus-server-3.2.1-1.sl9^1
STAK-prometheus-server-pvs___1.0-20260914.0422	github.com/prometheus/prometheus	UNKNOWN	CVE-2026-42151	true	prometheus-server-3.2.1-1.sl9^1
STAK-etcd-pvs___1.0-20260914.0422	go.opentelemetry.io/otel	v1.43.0	CVE-2026-41178	true	etcd-3.5.33-1.sl9^1^1
STAK-prometheus-server-pvs___1.0-20260914.0422	go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp	v1.34.0	CVE-2026-39882	true	prometheus-server-3.2.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	go.opentelemetry.io/otel/sdk	v1.16.0	CVE-2026-39883	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-56855	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-56855	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-56854	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-46598	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-46598	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-46597	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-46597	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-46595	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-46595	true	consul-1.16.1-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-42508	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39835	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39835	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39834	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39834	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39833	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39833	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39832	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39832	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39831	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
STAK-consul-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.11.0	CVE-2026-39831	true	consul-1.16.1-1.sl9^1
STAK-prometheus-libvirt-exporter-pvs___1.0-20260914.0422	golang.org/x/crypto	v0.39.0	CVE-2026-39830	true	prometheus_libvirt_exporter-2.2.0-1.sl9^1
